id,channel,family,dest,match,utm_source,utm_medium,utm_campaign,utm_content,url,qr_svg,qr_png,asset_file,decode_ok
guerrilla_fanzone-semifinal-atlanta,guerrilla_fanzone,placement,match,semifinal-atlanta,guerrilla_fanzone,qr,wc2026,,https://atlan-green-book.vercel.app/match/semifinal-atlanta?utm_source=guerrilla_fanzone&utm_medium=qr&utm_campaign=wc2026,qr/guerrilla_fanzone-semifinal-atlanta.svg,qr/guerrilla_fanzone-semifinal-atlanta.png,match-day-flyer.html,true
fangroup-spain-saudi-arabia,fangroup,seed,match,spain-saudi-arabia,fangroup_spain_saudi_arabia,social,wc2026,seed,https://atlan-green-book.vercel.app/match/spain-saudi-arabia?utm_source=fangroup_spain_saudi_arabia&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/fangroup-spain-saudi-arabia.svg,qr/fangroup-spain-saudi-arabia.png,(digital — see utm-index),true
fangroup-morocco-haiti,fangroup,seed,match,morocco-haiti,fangroup_morocco_haiti,social,wc2026,seed,https://atlan-green-book.vercel.app/match/morocco-haiti?utm_source=fangroup_morocco_haiti&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/fangroup-morocco-haiti.svg,qr/fangroup-morocco-haiti.png,(digital — see utm-index),true
fangroup-dr-congo-uzbekistan,fangroup,seed,match,dr-congo-uzbekistan,fangroup_dr_congo_uzbekistan,social,wc2026,seed,https://atlan-green-book.vercel.app/match/dr-congo-uzbekistan?utm_source=fangroup_dr_congo_uzbekistan&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/fangroup-dr-congo-uzbekistan.svg,qr/fangroup-dr-congo-uzbekistan.png,(digital — see utm-index),true
fangroup-semifinal-atlanta,fangroup,seed,match,semifinal-atlanta,fangroup_semifinal_atlanta,social,wc2026,seed,https://atlan-green-book.vercel.app/match/semifinal-atlanta?utm_source=fangroup_semifinal_atlanta&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/fangroup-semifinal-atlanta.svg,qr/fangroup-semifinal-atlanta.png,(digital — see utm-index),true
whatsapp_status-spain-saudi-arabia,whatsapp_status,seed,match,spain-saudi-arabia,whatsapp_status,social,wc2026,seed,https://atlan-green-book.vercel.app/match/spain-saudi-arabia?utm_source=whatsapp_status&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/whatsapp_status-spain-saudi-arabia.svg,qr/whatsapp_status-spain-saudi-arabia.png,(digital — see utm-index),true
whatsapp_status-morocco-haiti,whatsapp_status,seed,match,morocco-haiti,whatsapp_status,social,wc2026,seed,https://atlan-green-book.vercel.app/match/morocco-haiti?utm_source=whatsapp_status&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/whatsapp_status-morocco-haiti.svg,qr/whatsapp_status-morocco-haiti.png,(digital — see utm-index),true
whatsapp_status-dr-congo-uzbekistan,whatsapp_status,seed,match,dr-congo-uzbekistan,whatsapp_status,social,wc2026,seed,https://atlan-green-book.vercel.app/match/dr-congo-uzbekistan?utm_source=whatsapp_status&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/whatsapp_status-dr-congo-uzbekistan.svg,qr/whatsapp_status-dr-congo-uzbekistan.png,(digital — see utm-index),true
whatsapp_status-semifinal-atlanta,whatsapp_status,seed,match,semifinal-atlanta,whatsapp_status,social,wc2026,seed,https://atlan-green-book.vercel.app/match/semifinal-atlanta?utm_source=whatsapp_status&utm_medium=social&utm_campaign=wc2026&utm_content=seed,qr/whatsapp_status-semifinal-atlanta.svg,qr/whatsapp_status-semifinal-atlanta.png,(digital — see utm-index),true
home_mosque,home_mosque,placement,home,,mosque_alfarooq,qr,wc2026,,https://atlan-green-book.vercel.app/?utm_source=mosque_alfarooq&utm_medium=qr&utm_campaign=wc2026,qr/home_mosque.svg,qr/home_mosque.png,mosque-flyer.html,true
home_restaurant,home_restaurant,placement,home,,restaurant_aldente,qr,wc2026,,https://atlan-green-book.vercel.app/?utm_source=restaurant_aldente&utm_medium=qr&utm_campaign=wc2026,qr/home_restaurant.svg,qr/home_restaurant.png,table-tent.html,true
home_window,home_window,placement,home,,window_sticker,qr,wc2026,,https://atlan-green-book.vercel.app/?utm_source=window_sticker&utm_medium=qr&utm_campaign=wc2026,qr/home_window.svg,qr/home_window.png,window-sticker.html,true
